accession,source,country,year
SRR1180980,Human,United States,2013
SRR1187805,Human,United States,2013
SRR1180726,Human,United States,2013
SRR1187709,Human,United States,2013
SRR1186782,Human,Tanzania,2009
SRR1178257,Poultry,United States,2013
SRR785630,Human,Denmark,2006
SRR958486,Human,Denmark,2006
SRR785629,Human,Denmark,2006
SRR958487,Human,Denmark,2006
SRR2970227,Poultry,United States,2014
ERR1351670,Human,Singapore,2010
SRR3098818,Human,United States,2005
SRR1508875,Human,Nepal,2011
SRR3957093,Livestock,United States,1975
SRR3971185,Livestock,United States,1975
SRR3971177,Livestock,United States,1975
SRR3982152,Human,United States,2012
SRR3987591,Human,Saudi Arabia,1991
SRR3987983,Poultry,United States,1980
SRR4017926,Human,United States,2014
SRR4017900,Human,United States,2014
SRR4017857,Human,United States,2014
SRR4035121,Human,United States,2014
ERR712775,Human,Germany,2014
ERR712668,Human,Germany,2014
ERR712659,Human,Germany,2014
ERR712635,Human,Germany,2014
ERR712630,Human,Germany,2014
ERR712589,Human,Germany,2014
ERR712587,Human,Germany,2014
ERR712511,Human,Germany,2013
ERR712485,Human,Germany,2013
SRR3932426,Human,United States,2016
SRR4065662,Human,United States,2014
SRR4262794,Human,United States,1985
SRR4262712,Human,United States,1985
ERR1656423,Wild Animal,Denmark,2015
SRR3999080,Human,United States,2013
SRR3999076,Human,Brazil,2011
SRR3999074,Human,United States,2013
SRR3999067,Human,Brazil,2011
DRR089062,Environment,Japan,2015
SRR5470036,Poultry,United States,2015
ERR1981602,Human,Ireland,2016
SRR5642082,Human,United States,2013
SRR5660163,Human,Thailand,2016
SRR5714040,Human,Canada,2014
SRR5714046,Human,Canada,2014
SRR5714048,Human,Canada,2014
SRR5714064,Human,Canada,2014
SRR5714073,Human,Canada,2014
ERR2019250,Livestock,Spain,2015
ERR2019239,Livestock,Slovenia,2015
ERR2019230,Livestock,Romania,2015
ERR2019228,Livestock,Romania,2015
ERR2019177,Companion Animal,Hungary,2015
ERR2019163,Livestock,Germany,2015
ERR2019135,Livestock,Czech Republic,2015
ERR2019109,Companion Animal,Belgium,2015
SRR5806867,Human,United States,2016
SRR5865414,Livestock,United States,2017
SRR5865593,Livestock,United States,2017
SRR5884782,Human,Canada,2015
SRR5936493,Human,Australia,2014
SRR5936509,Human,Singapore,2015
SRR5936532,Human,Singapore,2015
SRR5943569,Human,Thailand,2016
SRR5943517,Human,Thailand,2016
SRR5942764,Human,Thailand,2016
SRR5942540,Human,Thailand,2015
SRR6118662,Companion Animal,United States,2017
ERR2088799,Human,Italy,2017
ERR2193921,Livestock,Germany,2015
ERR4426173,Human,Sweden,2014
ERR4426082,Human,Sweden,2014
SRR6380485,Livestock,United States,2017
SRR6442662,Environment,China,2017
ERR2203411,ND,Germany,2015
SRR6474925,Human,China,2015
SRR6512532,Wild Animal,United States,2007
SRR6791869,Human,United States,2016
SRR6892686,Human,United States,2014
SRR6892691,Human,United States,2014
SRR6892776,Human,United States,2014
SRR6892805,Human,United States,2014
SRR6942781,Human,China,2016
SRR6942787,Human,China,2016
SRR6942789,Human,China,2016
SRR7026299,Environment,China,2018
SRR7026300,Environment,China,2018
SRR7026302,Environment,China,2018
SRR7026305,Environment,China,2018
SRR7026310,Environment,China,2018
SRR7026311,Human,China,2016
SRR7188515,Environment,China,2018
SRR7188516,Human,China,2018
SRR7211943,Human,United Kingdom,2015
SRR7211944,Human,United Kingdom,2015
SRR7284885,Livestock,United States,2002
DRR138472,Human,Thailand,2018
ERR2540224,Livestock,Italy,2015
ERR1725937,Human,Saudi Arabia,2014
